Pokemon;Numero;Type1;Type2;Name_Stream;Base_HP;Base_Atk;Base_Def;Base_SpA;Base_SpD;Base_Spe
Bulbizarre;0001;Grass;Poison;Bulbasaur;45;49;49;65;65;45
Herbizarre;0002;Grass;Poison;Ivysaur;60;62;63;80;80;60
Florizarre;0003;Grass;Poison;Venusaur;80;82;83;100;100;80
Salamèche;0004;Fire;Fire;Charmander;39;52;43;60;50;65
Reptincel;0005;Fire;Fire;Charmeleon;58;64;58;80;65;80
Dracaufeu;0006;Fire;Flying;Charizard;78;84;78;109;85;100
Mega Dracaufeu X;0006_01;Fire;Dragon;Charizard-Mega-X;78;130;111;130;85;100
Mega Dracaufeu Y;0006_02;Fire;Flying;Charizard-Mega-Y;78;104;78;159;115;100
Carapuce;0007;Water;Water;Squirtle;44;48;65;50;64;43
Carabaffe;0008;Water;Water;Wartortle;59;63;80;65;80;58
Tortank;0009;Water;Water;Blastoise;79;83;100;85;105;78
Mega Tortank;0009_01;;;;;;;;;
Chenipan;0010;Bug;Bug;Caterpie;45;30;35;20;20;45
Chrysacier;0011;Bug;Bug;Metapod;50;20;55;25;25;30
Papilusion;0012;Bug;Flying;Butterfree;60;45;50;90;80;70
Aspicot;0013;Bug;Poison;Weedle;40;35;30;20;20;50
Coconfort;0014;Bug;Poison;Kakuna;45;25;50;25;25;35
Dardargnan;0015;Bug;Poison;Beedrill;65;90;40;45;80;75
Roucool;0016;Normal;Flying;Pidgey;40;45;40;35;35;56
Roucoups;0017;Normal;Flying;Pidgeotto;63;60;55;50;50;71
Roucarnage;0018;Normal;Flying;Pidgeot;83;80;75;70;70;101
Mega Roucarnage;0018_01;;;;;;;;;
Rattata;0019;Normal;Normal;Rattata;30;56;35;25;35;72
Rattata d'Alola;0019_01;Dark;Normal;Rattata-Alola;30;56;35;25;35;72
Rattatac;0020;Normal;Normal;Raticate;55;81;60;50;70;97
Rattatac d'Alola;0020_01;Dark;Normal;Raticate-Alola;75;71;70;40;80;77
Piafabec;0021;Normal;Flying;Spearow;40;60;30;31;31;70
Rapasdepic;0022;Normal;Flying;Fearow;65;90;65;61;61;100
Abo;0023;Poison;Poison;Ekans;35;60;44;40;54;55
Arbok;0024;Poison;Poison;Arbok;60;95;69;65;79;80
Pikachu;0025;Electric;Electric;Pikachu;35;55;40;50;50;90
Raichu;0026;Electric;Electric;Raichu;60;90;55;90;80;110
Raichu d'Alola;0026_01;Electric;Psychic;Raichu-Alola;60;85;50;95;85;110
Sabelette;0027;Ground;Ground;Sandshrew;50;75;85;20;30;40
Sabelette d'Alola;0027_01;Ice;Steel;Sandshrew-Alola;50;75;90;10;35;40
Sablaireau;0028;Ground;Ground;Sandslash;75;100;110;45;55;65
Sablaireau d'Alola;0028_01;Ice;Steel;Sandslash-Alola;75;100;120;25;65;65
Nidoran F;0029;Poison;Poison;Nidoran-M;55;47;52;40;40;41
Nidorina;0030;Poison;Poison;Nidorina;70;62;67;55;55;56
Nidoqueen;0031;Poison;Ground;Nidoqueen;90;92;87;75;85;76
Nidoran M;0032;Poison;Poison;Nidoran-F;46;57;40;40;40;50
Nidorino;0033;Poison;Poison;Nidorino;61;72;57;55;55;65
Nidoking;0034;Poison;Ground;Nidoking;81;102;77;85;75;85
Mélofée;0035;Fairy;Fairy;Clefairy;70;45;48;60;65;35
Mélodelfe;0036;Fairy;Fairy;Clefable;95;70;73;95;90;60
Goupix;0037;Fire;Fire;Vulpix;38;41;40;50;65;65
Goupix d'Alola;0037_01;Ice;Ice;Vulpix-Alola;38;41;40;50;65;65
Feunard;0038;Fire;Fire;Ninetales;73;76;75;81;100;100
Feunard d'Alola;0038_01;Ice;Fairy;Ninetales-Alola;73;67;75;81;100;109
Rondoudou;0039;Normal;Fairy;Jigglypuff;115;45;20;45;25;20
Grodoudou;0040;Normal;Fairy;Wigglytuff;140;70;45;85;50;45
Nosferapti;0041;Poison;Flying;Zubat;40;45;35;30;40;55
Nosferalto;0042;Poison;Flying;Golbat;75;80;70;65;75;90
Mystherbe;0043;Grass;Poison;Oddish;45;50;55;75;65;30
Ortide;0044;Grass;Poison;Gloom;60;65;70;85;75;40
Rafflesia;0045;Grass;Poison;Vileplume;75;80;85;110;90;50
Paras;0046;Bug;Grass;Paras;35;70;55;45;55;25
Parasect;0047;Bug;Grass;Parasect;60;95;80;60;80;30
Mimitoss;0048;Bug;Poison;Venonat;60;55;50;40;55;45
Aéromite;0049;Bug;Poison;Venomoth;70;65;60;90;75;90
Taupiqueur;0050;Ground;Ground;Diglett;10;55;25;35;45;95
Taupiqueur d'Alola;0050_01;Ground;Steel;Diglett-Alola;10;55;30;35;45;90
Triopikeur;0051;Ground;Ground;Dugtrio;35;100;50;50;70;120
Triopikeur d'Alola;0051_01;Ground;Steel;Dugtrio-Alola;35;100;60;50;70;110
Miaouss;0052;Normal;Normal;Meowth;40;45;35;40;40;90
Miaouss d'Alola;0052_01;Dark;Dark;Meowth-Alola;40;35;35;50;40;90
Miaouss de Galar;0052_02;Steel;Steel;Meowth-Galar;50;65;55;40;40;40
Persian;0053;Normal;Normal;Persian;65;70;60;65;65;115
Persian d'Alola;0053_01;Dark;Dark;Persian-Alola;65;60;60;75;65;115
Psykokwak;0054;Water;Water;Psyduck;50;52;48;65;50;55
Akwakwak;0055;Water;Water;Golduck;80;82;78;95;80;85
Férosinge;0056;Fighting;Fighting;Mankey;40;80;35;35;45;70
Colossinge;0057;Fighting;Fighting;Primeape;65;105;60;60;70;95
Caninos;0058;Fire;Fire;Growlithe;55;70;45;70;50;60
Caninos de Hisui;0058_01;Fire;Rock;Growlithe-Hisui;60;75;45;65;50;55
Arcanin;0059;Fire;Fire;Arcanine;90;110;80;100;80;95
Arcanin de Hisui;0059_01;Fire;Rock;Arcanine-Hisui;95;115;80;95;80;90
Ptitard;0060;Water;Water;Poliwag;40;50;40;40;40;90
Tétarte;0061;Water;Water;Poliwhirl;65;65;65;50;50;90
Tartard;0062;Water;Fighting;Poliwrath;90;95;95;70;90;70
Abra;0063;Psychic;Psychic;Abra;25;20;15;105;55;90
Kadabra;0064;Psychic;Psychic;Kadabra;40;35;30;120;70;105
Alakazam;0065;Psychic;Psychic;Alakazam;55;50;45;135;95;120
Machoc;0066;Fighting;Fighting;Machop;70;80;50;35;35;35
Machopeur;0067;Fighting;Fighting;Machoke;80;100;70;50;60;45
Mackogneur;0068;Fighting;Fighting;Machamp;90;130;80;65;85;55
Chétiflor;0069;Grass;Poison;Bellsprout;50;75;35;70;30;40
Boustiflor;0070;Grass;Poison;Weepinbell;65;90;50;85;45;55
Empiflor;0071;Grass;Poison;Victreebel;80;105;65;100;70;70
Tentacool;0072;Water;Poison;Tentacool;40;40;35;50;100;70
Tentacruel;0073;Water;Poison;Tentacruel;80;70;65;80;120;100
Racaillou;0074;Rock;Ground;Geodude;40;80;100;30;30;20
Racaillou d'Alola;0074_01;Rock;Electric;Geodude-Alola;40;80;100;30;30;20
Gravalanch;0075;Rock;Ground;Graveler;55;95;115;45;45;35
Gravalanch d'Alola;0075_01;Rock;Electric;Graveler-Alola;55;95;115;45;45;35
Grolem;0076;Rock;Ground;Golem;80;120;130;55;65;45
Grolem d'Alola;0076_01;Rock;Electric;Golem-Alola;80;120;130;55;65;45
Ponyta;0077;Fire;Fire;Ponyta;50;85;55;65;65;90
Ponyta de Galar;0077_01;Psychic;Psychic;Ponyta-Galar;50;85;55;65;65;90
Galopa;0078;Fire;Fire;Rapidash;65;100;70;80;80;105
Galopa de Galar;0078_01;Psychic;Fairy;Rapidash-Galar;65;100;70;80;80;105
Ramoloss;0079;Water;Psychic;Slowpoke;90;65;65;40;40;15
Ramoloss de Galar;0079_01;Psychic;Psychic;Slowpoke-Galar;90;65;65;40;40;15
Flagadoss;0080;Water;Psychic;Slowbro;95;75;110;100;80;30
Flagadoss de Galar;0080_01;Poison;Psychic;Slowbro-Galar;95;100;95;100;70;30
Magnéti;00081;Electric;Steel;Magnemite;25;35;70;95;55;45
Magnéton;0082;Electric;Steel;Magneton;50;60;95;120;70;70
Canarticho;0083;Normal;Flying;Farfetch'd;52;90;55;58;62;60
Canarticho de Galar;0083_01;Fighting;Fighting;Farfetch'd-Galar;52;95;55;58;62;55
Doduo;0084;Normal;Flying;Doduo;35;85;45;35;35;75
Dodrio;0085;Normal;Flying;Dodrio;60;110;70;60;60;110
Otaria;0086;Water;Water;Seel;65;45;55;45;70;45
Lamantine;0087;Water;Ice;Dewgong;90;70;80;70;95;70
Tadmorv;0088;Poison;Poison;Grimer;80;80;50;40;50;25
Tadmorv d'Alola;0088_01;Poison;Dark;Grimer-Alola;80;80;50;40;50;25
Grotadmorv;0089;Poison;Poison;Muk;105;105;75;65;100;50
Grotadmorv d'Alola;0089_01;Poison;Dark;Muk-Alola;105;105;75;65;100;50
Kokiyas;0090;Water;Water;Shellder;30;65;100;45;25;40
Crustabri;0091;Water;Ice;Cloyster;50;95;180;85;45;70
Fantominus;0092;Ghost;Poison;Gastly;30;35;30;100;35;80
Spectrum;0093;Ghost;Poison;Haunter;45;50;45;115;55;95
Ectoplasma;0094;Ghost;Poison;Gengar;60;65;60;130;75;110
Onix;0095;Rock;Ground;Onix;35;45;160;30;45;70
Soporifik;0096;Psychic;Psychic;Drowzee;60;48;45;43;90;42
Hypnomade;0097;Psychic;Psychic;Hypno;85;73;70;73;115;67
Krabby;0098;Water;Water;Krabby;30;105;90;25;25;50
Krabboss;0099;Water;Water;Kingler;55;130;115;50;50;75
Voltorbe;0100;Electric;Electric;Voltorb;40;30;50;55;55;100
Voltorbe de Hisui;0100_01;Electric;Grass;Voltorb-Hisui;40;30;50;55;55;100
Électrode;0101;Electric;Electric;Electrode;60;50;70;80;80;150
Électrode de Hisui;0101_01;Electric;Grass;Electrode-Hisui;60;50;70;80;80;150
Noeunoeuf;0102;Grass;Psychic;Exeggcute;60;40;80;60;45;40
Noadkoko;0103;Grass;Psychic;Exeggutor;95;95;85;125;75;55
Noadkoko d'Alola;0103_01;Grass;Dragon;Exeggutor-Alola;95;105;85;125;75;45
Osselait;0104;Ground;Ground;Cubone;50;50;95;40;50;35
Ossatueur;0105;Ground;Ground;Marowak;60;80;110;50;80;45
Ossatueur d'Alola;0105_01;Fire;Ghost;Marowak-Alola;60;80;110;50;80;45
Kicklee;0106;Fighting;Fighting;Hitmonlee;50;120;53;35;110;87
Tygnon;0107;Fighting;Fighting;Hitmonchan;50;105;79;35;110;76
Excelangue;0108;Normal;Normal;Lickitung;90;55;75;60;75;30
Smogo;0109;Poison;Poison;Koffing;40;65;95;60;45;35
Smogogo;0110;Poison;Poison;Weezing;65;90;120;85;70;60
Smogogo de Galar;0110_01;Poison;Fairy;Weezing-Galar;65;90;120;85;70;60
Rhinocorne;0111;Ground;Rock;Rhyhorn;80;85;95;30;30;25
Rhinoféros;0112;Ground;Rock;Rhydon;105;130;120;45;45;40
Leveinard;0113;Normal;Normal;Chansey;250;5;5;35;105;50
Saquedeneu;0114;Grass;Grass;Tangela;65;55;115;100;40;60
Kangourex;0115;Normal;Normal;Kangaskhan;105;95;80;40;80;90
Hypotrempe;0116;Water;Water;Horsea;30;40;70;70;25;60
Hypocéan;0117;Water;Water;Seadra;55;65;95;95;45;85
Poissirène;0118;Water;Water;Goldeen;45;67;60;35;50;63
Poissoroy;0119;Water;Water;Seaking;80;92;65;65;80;68
Stari;0120;Water;Water;Staryu;30;45;55;70;55;85
Staross;0121;Water;Psychic;Starmie;60;75;85;100;85;115
M. Mime;0122;Psychic;Fairy;Mr. Mime;40;45;65;100;120;90
M. Mime de Galar;0122_01;Ice;Psychic;Mr. Mime-Galar;50;65;65;90;90;100
Insécateur;0123;Bug;Flying;Scyther;70;110;80;55;80;105
Lippoutou;0124;Ice;Psychic;Jynx;65;50;35;115;95;95
Élektek;0125;Electric;Electric;Electabuzz;65;83;57;95;85;105
Magmar;0126;Fire;Fire;Magmar;65;95;57;100;85;93
Scarabrute;0127;Bug;Bug;Pinsir;65;125;100;55;70;85
Tauros;0128;Normal;Normal;Tauros;75;100;95;40;70;110
Tauros de Paldea - Race Combative;0128_01;Fighting;Fighting;Tauros-Paldea-Combat;75;110;105;30;70;100
Tauros de Paldea - Race Flamboyante;0128_02;Fighting;Fire;Tauros-Paldea-Blaze;75;110;105;30;70;100
Tauros de Paldea - Race Aquatique;0128_03;Fighting;Water;Tauros-Paldea-Aqua;75;110;105;30;70;100
Magicarpe;0129;Water;Water;Magikarp;20;10;55;15;20;80
Léviator;0130;Water;Flying;Gyarados;95;125;79;60;100;81
Lokhlass;0131;Water;Ice;Lapras;130;85;80;85;95;60
Métamorph;0132;Normal;Normal;Ditto;48;48;48;48;48;48
Évoli;0133;Normal;Normal;Eevee;55;55;50;45;65;55
Aquali;0134;Water;Water;Vaporeon;130;65;60;110;95;65
Voltali;0135;Electric;Electric;Jolteon;65;65;60;110;95;130
Pyroli;0136;Fire;Fire;Flareon;65;130;60;95;110;65
Porygon;0137;Normal;Normal;Porygon;65;60;70;85;75;40
Amonita;0138;Rock;Water;Omanyte;35;40;100;90;55;35
Amonistar;0139;Rock;Water;Omastar;70;60;125;115;70;55
Kabuto;0140;Rock;Water;Kabuto;30;80;90;55;45;55
Kabutops;0141;Rock;Water;Kabutops;60;115;105;65;70;80
Ptéra;0142;Rock;Flying;Aerodactyl;80;105;65;60;75;130
Ronflex;0143;Normal;Normal;Snorlax;160;110;65;65;110;30
Artikodin;0144;Ice;Flying;Articuno;90;85;100;95;125;85
Artikodin de Galar;0144_01;Psychic;Flying;Articuno-Galar;90;85;85;125;100;95
Électhor;0145;Electric;Flying;Zapdos;90;90;85;125;90;100
Électhor de Galar;0145_01;Fighting;Flying;Zapdos-Galar;90;125;90;85;90;100
Sulfura;0146;Fire;Flying;Moltres;90;100;90;125;85;90
Sulfura de Galar;0146_01;Dark;Flying;Moltres-Galar;90;85;90;100;125;90
Minidraco;0147;Dragon;Dragon;Dratini;41;64;45;50;50;50
Draco;0148;Dragon;Dragon;Dragonair;61;84;65;70;70;70
Dracolosse;0149;Dragon;Flying;Dragonite;91;134;95;100;100;80
Mewtwo;0150;Psychic;Psychic;Mewtwo;106;110;90;154;90;130
Mew;0151;Psychic;Psychic;Mew;100;100;100;100;100;100
Germignon;0152;Grass;Grass;Chikorita;45;49;65;49;65;45
Macronium;0153;Grass;Grass;Bayleef;60;62;80;63;80;60
Méganium;0154;Grass;Grass;Meganium;80;82;100;83;100;80
Héricendre;0155;Fire;Fire;Cyndaquil;39;52;43;60;50;65
Feurisson;0156;Fire;Fire;Quilava;58;64;58;80;65;80
Typhlosion;0157;Fire;Fire;Typhlosion;78;84;78;109;85;100
Typhlosion de Hisui;00157_01;Fire;Ghost;Typhlosion-Hisui;73;84;78;119;85;95
Kaiminus;0158;Water;Water;Totodile;50;65;64;44;48;43
Crocrodil;0159;Water;Water;Croconaw;65;80;80;59;63;58
Aligatueur;0160;Water;Water;Feraligatr;85;105;100;79;83;78
Fouinette;0161;Normal;Normal;Sentret;35;46;34;35;45;20
Fouinar;0162;Normal;Normal;Furret;85;76;64;45;55;90
Hoothoot;0163;Normal;Flying;Hoothoot;60;30;30;36;56;50
Noarfang;0164;Normal;Flying;Noctowl;100;50;50;86;96;70
Coxy;0165;Bug;Flying;Ledyba;40;20;30;40;80;55
Coxyclaque;0166;Bug;Flying;Ledian;55;35;50;55;110;85
Mimigal;0167;Bug;Poison;Spinarak;40;60;40;40;40;30
Migalos;0168;Bug;Poison;Ariados;70;90;70;60;70;40
Nostenfer;0169;Poison;Flying;Crobat;85;90;80;70;80;130
Loupio;0170;Water;Electric;Chinchou;75;38;38;56;56;67
Lanturn;0171;Water;Electric;Lanturn;125;58;58;76;76;67
Pichu;0172;Electric;Electric;Pichu;20;40;15;35;35;60
Mélo;0173;Fairy;Fairy;Cleffa;50;25;28;45;55;15
Toudoudou;0174;Normal;Fairy;Igglybuff;90;30;15;40;20;15
Togepi;0175;Fairy;Fairy;Togepi;35;20;65;40;65;20
Togetic;0176;Fairy;Flying;Togetic;55;40;85;80;105;40
Natu;0177;Psychic;Flying;Natu;40;50;45;70;45;70
Xatu;0178;Psychic;Flying;Xatu;65;75;70;95;70;95
Wattouat;0179;Electric;Electric;Mareep;55;40;40;65;45;35
Lainergie;0180;Electric;Electric;Flaaffy;70;55;55;80;60;45
Pharamp;0181;Electric;Electric;Ampharos;90;75;85;115;90;55
Joliflor;0182;Grass;Grass;Bellossom;75;80;95;90;100;50
Marill;0183;Water;Fairy;Marill;70;20;50;20;50;40
Azumarill;0184;Water;Fairy;Azumarill;100;50;80;60;80;50
Simularbre;0185;Rock;Rock;Sudowoodo;70;100;115;30;65;30
Tarpaud;0186;Water;Water;Politoed;90;75;75;90;100;70
Granivol;0187;Grass;Flying;Hoppip;35;35;40;35;55;50
Floravol;0188;Grass;Flying;Skiploom;55;45;50;45;65;80
Cotovol;0189;Grass;Flying;Jumpluff;75;55;70;55;95;110
Capumain;0190;Normal;Normal;Aipom;55;70;55;40;55;85
Tournegrin;0191;Grass;Grass;Sunkern;30;30;30;30;30;30
Héliatronc;0192;Grass;Grass;Sunflora;75;75;55;105;85;30
Yanma;0193;Bug;Flying;Yanma;65;65;45;75;45;95
Axoloto;0194;Water;Ground;Wooper;55;45;45;25;25;15
Axoloto de Paldea;0194_01;Poison;Ground;Wooper-Paldea;55;45;45;25;25;15
Maraiste;0195;Water;Ground;Quagsire;95;85;85;65;65;35
Mentali;0196;Psychic;Psychic;Espeon;65;65;60;130;95;110
Noctali;0197;Dark;Dark;Umbreon;95;65;110;60;130;65
Cornèbre;0198;Dark;Flying;Murkrow;60;85;42;85;42;91
Roigada;0199;Water;Psychic;Slowking;95;75;80;100;110;30
Roigada de Galar;0199_01;Poison;Psychic;Slowking-Galar;95;65;80;110;110;30
Feuforêve;0200;Ghost;Ghost;Misdreavus;60;60;60;85;85;85
Zarbi;0201;Psychic;Psychic;Unown;48;72;48;72;48;48
Qulbutoké;0202;Psychic;Psychic;Wobbuffet;190;33;58;33;58;33
Girafarig;0203;Normal;Psychic;Girafarig;70;80;65;90;65;85
Pomdepik;0204;Bug;Bug;Pineco;50;65;90;35;35;15
Foretress;0205;Bug;Steel;Forretress;75;90;140;60;60;40
Insolourdo;0206;Normal;Normal;Dunsparce;100;70;70;65;65;45
Scorplane;0207;Ground;Flying;Gligar;65;75;105;35;65;85
Steelix;0208;Steel;Ground;Steelix;75;85;200;55;65;30
Snubbull;0209;Fairy;Fairy;Snubbull;60;80;50;40;40;30
Granbull;0210;Fairy;Fairy;Granbull;90;120;75;60;60;45
Qwilfish;0211;Water;Poison;Qwilfish;65;95;85;55;55;85
Qwilfish de Hisui;0211_01;Dark;Poison;Qwilfish-Hisui;65;95;85;55;55;85
Cizayox;0212;Bug;Steel;Scizor;70;130;100;55;80;65
Caratroc;0213;Bug;Rock;Shuckle;20;10;230;10;230;5
Scarhino;0214;Bug;Fighting;Heracross;80;125;75;40;95;85
Farfuret;0215;Dark;Ice;Sneasel;55;95;55;35;75;115
Farfuret de Hisui;0215_01;Fighting;Poison;Sneasel-Hisui;55;95;55;35;75;115
Teddiursa;0216;Normal;Normal;Teddiursa;60;80;50;50;50;40
Ursaring;0217;Normal;Normal;Ursaring;90;130;75;75;75;55
Limagma;0218;Fire;Fire;Slugma;40;40;40;70;40;20
Volcaropod;0219;Fire;Rock;Magcargo;60;50;120;90;80;30
Marcacrin;0220;Ice;Ground;Swinub;50;50;40;30;30;50
Cochignon;0221;Ice;Ground;Piloswine;100;100;80;60;60;50
Corayon;0222;Water;Rock;Corsola;65;55;95;65;95;35
Corayon de Galar;0222_01;Ghost;Ghost;Corsola-Galar;60;55;100;65;100;30
Rémoraid;0223;Water;Water;Remoraid;35;65;35;65;35;65
Octillery;0224;Water;Water;Octillery;75;105;75;105;75;45
Cadoizo;0225;Ice;Flying;Delibird;45;55;45;65;45;75
Démanta;0226;Water;Flying;Mantine;85;40;70;80;140;70
Airmure;0227;Steel;Flying;Skarmory;65;80;140;40;70;70
Malosse;0228;Dark;Fire;Houndour;45;60;30;80;50;65
Démolosse;0229;Dark;Fire;Houndoom;75;90;50;110;80;95
Hyporoi;0230;Water;Dragon;Kingdra;75;95;95;95;95;85
Phanpy;0231;Ground;Ground;Phanpy;90;60;60;40;40;40
Donphan;0232;Ground;Ground;Donphan;90;120;120;60;60;50
Porygon2;0233;Normal;Normal;Porygon2;85;80;90;105;95;60
Cerfrousse;0234;Normal;Normal;Stantler;73;95;62;85;65;85
Queulorior;0235;Normal;Normal;Smeargle;55;20;35;20;45;75
Debugant;0236;Fighting;Fighting;Tyrogue;35;35;35;35;35;35
Kapoera;0237;Fighting;Fighting;Hitmontop;50;95;95;35;110;70
Lippouti;0238;Ice;Psychic;Smoochum;45;30;15;85;65;65
Élekid;0239;Electric;Electric;Elekid;45;63;37;65;55;95
Magby;0240;Fire;Fire;Magby;45;75;37;70;55;83
Écrémeuh;0241;Normal;Normal;Miltank;95;80;105;40;70;100
Leuphorie;0242;Normal;Normal;Blissey;255;10;10;75;135;55
Raikou;0243;Electric;Electric;Raikou;90;85;75;115;100;115
Entei;0244;Fire;Fire;Entei;115;115;85;90;75;100
Suicune;0245;Water;Water;Suicune;100;75;115;90;115;85
Embrylex;0246;Rock;Ground;Larvitar;50;64;50;45;50;41
Ymphect;0247;Rock;Ground;Pupitar;70;84;70;65;70;51
